planning_area_name,population
BOULDIN CREEK,5936
BRENTWOOD,11566
CENTRAL EAST AUSTIN,6486
CHESTNUT,2569
CORONADO HILLS,3172
CRESTVIEW,6458
DAWSON,3051
EAST CESAR CHAVEZ,3601
EAST CONGRESS,3875
EAST OAK HILL,17168
FRANKLIN PARK,12654
GARRISON PARK,13429
GATEWAY,1461
GEORGIAN ACRES,7976
GOVALLE,7286
HANCOCK,5916
HERITAGE HILLS,6396
HIGHLAND,5350
HOLLY,2821
HYDE PARK,5010
JOHNSTON TERRACE,2550
MCKINNEY,3183
MLK,3158
MLK-183,7486
MONTOPOLIS,11391
NORTH AUSTIN CIVIC ASSOCIATION,26112
NORTH BURNET,8907
NORTH LAMAR,7758
NORTH LOOP,4408
NORTH SHOAL CREEK,3628
NORTH UNIVERSITY,4609
OLD WEST AUSTIN,4199
PARKER LANE,8179
PECAN SPRINGS-SPRINGDALE,7040
PLEASANT VALLEY,13466
RIVERSIDE,12026
ROSEWOOD,4422
SOUTH MANCHACA,5630
SOUTH RIVER CITY,6383
SOUTHEAST,5901
ST. EDWARDS,5827
ST. JOHN,11037
SWEETBRIAR,5977
UNIVERSITY HILLS,5270
UPPER BOGGY CREEK,6105
WEST AUSTIN NEIGHBORHOOD GROUP,10777
WEST CONGRESS,2660
WEST OAK HILL,20591
WEST UNIVERSITY,15523
WESTGATE,2873
WINDSOR HILLS,7963
WINDSOR PARK,14668
WINDSOR ROAD,3036
WOOTEN,6328
