rank,site_id,lat,lon,node_weight,population_score,marginal_demand_gain,cumulative_coverage
1,NPA_44,30.366722253064758,-97.7217847705786,0.2824734424067532,0.19743620948440224,0.5642809950499402,0.8690476190476191
2,NPA_84,30.21387710930234,-97.81288179308406,0.11394404657827072,0.4854975457385096,0.4639159222460242,0.8809523809523809
3,NPA_39,30.369894016884288,-97.68875365409174,0.3172353388006024,0.25544602653036386,0.3906747230894826,0.8928571428571429
4,NPA_67,30.3104171429477,-97.66975031262233,0.21465872036113182,0.15451705813151595,0.33056910523699345,0.9047619047619048
5,NPA_12,30.28374181149056,-97.66198971075889,0.2063107481606491,0.2444119913999432,0.26485843847062807,0.9166666666666666
6,NPA_17,30.302704340216536,-97.67810294726884,0.20823173990911872,0.22631941909050343,0.23869346069088382,0.9285714285714286
7,NPA_87,30.34629029973379,-97.72523293270707,0.22496220253916094,0.20270982921585332,0.22627632780688098,0.9404761904761905
8,NPA_60,30.346328881081373,-97.68514536144328,0.2502366067702172,0.2001947182670074,0.22276718182774508,0.9523809523809523
9,NPA_58,30.19945325709755,-97.73170630295266,0.20274036036612753,0.06985517828891323,0.20032810103795107,0.9642857142857143
10,NPA_70,30.326598384523408,-97.68526959482833,0.20510846778183559,0.06940894892702122,0.1437028054350642,0.9761904761904762
11,NPA_78,30.300048092806097,-97.74394746491627,0.25798265427608685,0.5704433897204981,0.11342720015038651,0.9880952380952381
12,NPA_47,30.287346138063565,-97.69482954122803,0.12806702310399212,0.06884102064824957,0.1045134745681147,1.0
13,NPA_28,30.295809387693826,-97.72463914313346,0.1736442651728014,0.18072289156626506,0.0,1.0
14,NPA_29,30.218206234137256,-97.7709739224879,0.09859007678318557,0.04863900044622936,0.0,1.0
15,NPA_30,30.34106391249477,-97.71132716405458,0.21057155283705326,0.1577623625816397,0.0,1.0
16,NPA_34,30.28187375034491,-97.72074018437765,0.11574778094857349,0.18838992332968238,0.0,1.0
17,NPA_36,30.29594412743836,-97.7358633377846,0.18287668854285585,0.12770273011236866,0.0,1.0
18,NPA_37,30.297738930562744,-97.7142231301706,0.14171730909275007,0.18838992332968238,0.0,1.0
19,NPA_40,30.204337628979918,-97.79163319875443,0.11942287403796127,0.4854975457385096,0.0,1.0
20,NPA_41,30.35154515115912,-97.70197297379694,0.2576274826190256,0.26428948115695106,0.0,1.0
21,NPA_42,30.208836195366192,-97.77605793665121,0.1070416559712457,0.04863900044622936,0.0,1.0
22,NPA_43,30.20854827377785,-97.7628875874089,0.09942063244508516,0.09792706178248346,0.0,1.0
23,NPA_45,30.19791903828313,-97.77628385665047,0.10941797454144625,0.1831974362094844,0.0,1.0
24,NPA_48,30.358847141834186,-97.67750008251394,0.3078451252833894,0.26376211918380593,0.0,1.0
25,NPA_49,30.2180424570865,-97.78877643464152,0.11413996367845496,0.16912092815707275,0.0,1.0
26,NPA_50,30.366752696281342,-97.73504634942793,0.2623874941083659,0.08790718429272647,0.0,1.0
27,NPA_51,30.228665372459407,-97.69821334832527,0.3236168702509977,0.40282341487160767,0.0,1.0
28,NPA_52,30.291482284373018,-97.71671361986785,0.13774195971074144,0.18838992332968238,0.0,1.0
29,NPA_53,30.25196257506583,-97.71992129583616,0.0505670612832455,0.055170175652103366,0.0,1.0
30,NPA_54,30.275499317052176,-97.75972424111498,0.27469481178464894,0.11107054480548456,0.0,1.0
31,NPA_55,30.336827989488214,-97.71229656071246,0.20533754330207238,0.1577623625816397,0.0,1.0
32,NPA_56,30.255471089250793,-97.68678899668758,0.14930943667714555,0.04417670682730924,0.0,1.0
33,NPA_57,30.325648577072727,-97.68730577956916,0.2036704174383583,0.06940894892702122,0.0,1.0
34,NPA_59,30.288706692410727,-97.67005703725431,0.1854759634926841,0.22631941909050343,0.0,1.0
35,NPA_61,30.329559032938793,-97.73045759097391,0.19676274449627756,0.4099225183562533,0.0,1.0
36,NPA_63,30.249903760942296,-97.74385368728791,0.00933182017969144,0.1996673562938623,0.0,1.0
37,NPA_64,30.3384408307679,-97.7119794303195,0.21057155283705326,0.1577623625816397,0.0,1.0
38,NPA_65,30.217486607166887,-97.77343300308661,0.09859007678318557,0.04863900044622936,0.0,1.0
39,NPA_66,30.256038905259356,-97.73183089247239,0.0,0.0868118940408097,0.0,1.0
40,NPA_68,30.387805250226236,-97.73887968200255,0.2817149827733117,0.0,0.0,1.0
41,NPA_69,30.287760932364648,-97.74653208732367,0.23648825763067294,0.5704433897204981,0.0,1.0
42,NPA_1,30.2502188872963,-97.75825206515141,0.04163413585077916,0.181534217678796,0.0,1.0
43,NPA_2,30.219054015311258,-97.7875987203052,0.10469729291311469,0.16912092815707275,0.0,1.0
44,NPA_3,30.331407454367074,-97.71851659163742,0.20344076661430355,0.1577623625816397,0.0,1.0
45,NPA_4,30.225462894577415,-97.79684994716219,0.1079434185557029,0.057279623544683786,0.0,1.0
46,NPA_5,30.224193271295857,-97.76927910155779,0.09470233048254602,0.04863900044622936,0.0,1.0
47,NPA_6,30.22917768890592,-97.75198464204773,0.07385117580594312,0.17711249036550242,0.0,1.0
48,NPA_7,30.37011160713379,-97.70922783040521,0.34028959329785696,1.0,0.0,1.0
49,NPA_8,30.223168034514842,-97.7922968780502,0.1079434185557029,0.16912092815707275,0.0,1.0
50,NPA_9,30.266054253993488,-97.7196082656271,0.04212235959082719,0.20384568577339662,0.0,1.0
